File Path,Size (KB),Transferred At,Status,Error
source-assets\New folder\image.png,1065.29,2026-01-03T09:37:34.778Z,SUCCESS,
source-assets\TestWord.docx,0,2026-01-03T09:37:34.782Z,SUCCESS,
